gebid,building_type,scenario_name,scenario_category,enob_category,hvac_system_type,hvac_subsystem_type,nfa,bac,hvac_rsl,envbpot,endenergy_norm_diff,co2_norm_heating_dhw_diff,penrt_norm_diff,pet_norm_diff,pert_norm_diff,lca_gwp_norm_a2,lca_penrt_norm,lca_pert_norm,lcc_norm,total_pv_potential_kwh,investment_costs_total,investment_costs_norm,operation_costs_norm_diff,endenergy_total_diff,penrt_total_diff,pet_total_diff,co2_total_heating_dhw_diff,operation_costs_total_diff
B033,library,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,6448.6,1979-1995,12.5,Low,28.05,8.51,68.04,71.81,6.32,10.35,94.54,37.86,14.39,723523.0,613231.0,95.09,10.15,180870.0,438751.0,463074.0,54883.0,65472.0
B033,library,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,6448.6,1979-1995,12.5,Low,131.08,25.09,377.59,343.19,28.76,39.12,344.1,48.04,241.6,723523.0,3831725.0,594.19,10.39,845292.0,2434928.0,2213127.0,161814.0,66983.0
B034,library,EGB55,construction_only,EGB55,,,3319.0,1919-1948,,Medium,75.62,22.12,137.98,226.73,9.38,39.64,140.49,61.87,379.54,382553.0,1038040.0,312.76,2.13,250996.0,457955.0,752500.0,73431.0,7065.0
B034,library,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,3319.0,1919-1948,22.9,Medium,10.08,3.61,19.87,28.02,1.8,4.12,51.87,30.57,45.67,382553.0,492381.0,148.35,6.12,33460.0,65965.0,92986.0,11990.0,20325.0
B034,library,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,3319.0,1919-1948,22.9,Medium,97.97,29.0,235.69,260.7,23.94,69.21,189.88,31.98,351.41,382553.0,2654450.0,799.78,9.98,325156.0,782260.0,865271.0,96241.0,33121.0
B035,office,EGB55,construction_only,EGB55,,,7880.1,ab 2010,,Negligible,60.23,22.0,133.86,170.59,5.09,65.13,443.73,73.41,128.79,751746.0,3906848.0,495.79,10.93,474605.0,1054850.0,1344240.0,173364.0,86152.0
B035,office,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,7880.1,ab 2010,0.0,Negligible,12.54,3.27,35.66,31.39,1.23,10.33,43.45,73.65,50.86,751746.0,1130269.0,143.43,13.52,98850.0,281035.0,247391.0,25758.0,106510.0
B035,office,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,7880.1,ab 2010,0.0,Negligible,96.8,33.36,272.92,328.64,21.25,76.06,324.23,63.14,236.57,751746.0,2743154.0,348.11,5.57,762803.0,2150596.0,2589707.0,262863.0,43861.0
B036,nursery,EGB55,construction_only,EGB55,,,4135.7,ab 2010,,Negligible,115.09,36.37,365.72,293.31,20.9,15.59,402.09,85.93,72.65,527060.0,2293781.0,554.63,13.91,475975.0,1512488.0,1213031.0,150432.0,57545.0
B036,nursery,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,4135.7,ab 2010,21.1,Negligible,36.9,9.9,84.68,111.05,4.39,7.53,50.54,89.05,26.76,527060.0,237653.0,57.46,15.07,152624.0,350227.0,459273.0,40935.0,62310.0
B036,nursery,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,4135.7,ab 2010,21.1,Negligible,51.25,17.97,138.68,147.83,6.12,16.71,165.01,36.63,194.72,527060.0,3111512.0,752.36,8.81,211958.0,573533.0,611391.0,74326.0,36442.0
B037,nursery,EGB55,construction_only,EGB55,,,5878.8,ab 2010,,Negligible,22.47,5.56,46.41,53.09,4.73,45.81,89.57,66.64,137.54,502629.0,3341098.0,568.33,8.07,132090.0,272822.0,312111.0,32702.0,47461.0
B037,nursery,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,5878.8,ab 2010,5.3,Negligible,23.29,7.34,74.2,80.96,2.18,10.91,43.43,16.4,19.76,502629.0,351395.0,59.77,15.38,136904.0,436184.0,475959.0,43152.0,90390.0
B037,nursery,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,5878.8,ab 2010,5.3,Negligible,118.56,37.91,265.81,335.03,19.93,32.06,425.58,71.24,68.77,502629.0,1797937.0,305.84,7.92,696997.0,1562608.0,1969552.0,222875.0,46589.0
B038,admin,EGB55,construction_only,EGB55,,,5309.1,1979-1995,,Negligible,36.03,8.52,102.97,136.54,7.81,10.71,324.03,73.85,391.25,407958.0,2425959.0,456.95,5.91,191296.0,546692.0,724881.0,45211.0,31359.0
B038,admin,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,5309.1,1979-1995,3.4,Negligible,30.34,10.7,69.08,76.0,2.44,4.47,105.12,59.22,59.53,407958.0,203525.0,38.34,6.17,161064.0,366769.0,403484.0,56829.0,32774.0
B038,admin,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,5309.1,1979-1995,3.4,Negligible,114.04,22.05,269.37,367.24,24.81,45.04,234.3,87.21,217.27,407958.0,3238349.0,609.97,8.79,605459.0,1430105.0,1949708.0,117056.0,46666.0
B039,sports_hall,EGB55,construction_only,EGB55,,,2198.9,vor 1919,,High,54.41,13.74,160.17,121.57,5.48,74.24,517.85,43.99,141.58,202361.0,935381.0,425.39,3.93,119644.0,352190.0,267306.0,30211.0,8651.0
B039,sports_hall,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,2198.9,vor 1919,15.9,High,37.96,9.28,69.63,137.43,5.3,13.82,105.82,73.47,53.13,202361.0,195031.0,88.7,13.56,83472.0,153114.0,302193.0,20398.0,29807.0
B039,sports_hall,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,2198.9,vor 1919,15.9,High,65.03,17.96,147.59,222.89,16.02,19.58,214.83,39.46,216.05,202361.0,1703818.0,774.86,15.1,142994.0,324533.0,490104.0,39494.0,33195.0
B040,office,EGB55,construction_only,EGB55,,,5946.1,1919-1948,,Medium,52.42,18.17,114.61,121.97,7.5,34.5,673.67,8.47,127.41,614014.0,3792934.0,637.88,13.75,311686.0,681508.0,725248.0,108028.0,81763.0
B040,office,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,5946.1,1919-1948,22.4,Medium,27.36,6.14,82.76,93.49,5.0,4.9,41.58,39.1,26.56,614014.0,221950.0,37.33,6.8,162675.0,492113.0,555884.0,36524.0,40427.0
B040,office,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,5946.1,1919-1948,22.4,Medium,66.53,17.09,150.7,186.47,13.56,48.78,242.02,73.21,235.01,614014.0,2564402.0,431.27,11.56,395576.0,896110.0,1108775.0,101608.0,68718.0
B041,community_center,EGB55,construction_only,EGB55,,,6852.9,1996-2009,,Low,34.72,8.02,75.02,83.05,5.53,9.63,618.72,69.34,334.71,1201858.0,1215129.0,177.32,10.44,237899.0,514093.0,569105.0,54929.0,71522.0
B041,community_center,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,6852.9,1996-2009,13.4,Low,6.44,1.41,14.0,18.92,0.74,11.7,54.4,61.72,36.57,1201858.0,769957.0,112.36,4.32,44124.0,95965.0,129688.0,9649.0,29593.0
B041,community_center,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,6852.9,1996-2009,13.4,Low,109.07,35.38,206.78,405.08,21.31,30.33,435.99,50.44,236.75,1201858.0,1960542.0,286.09,4.61,747462.0,1417062.0,2775956.0,242472.0,31571.0
B042,nursery,EGB55,construction_only,EGB55,,,6335.0,1979-1995,,Low,64.92,11.85,205.64,173.32,12.17,37.37,123.79,81.87,395.55,419259.0,1342137.0,211.86,6.98,411239.0,1302741.0,1097989.0,75044.0,44212.0
B042,nursery,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,6335.0,1979-1995,9.7,Low,11.69,3.65,33.84,39.92,2.51,2.31,42.96,50.2,45.14,419259.0,483811.0,76.37,7.46,74048.0,214354.0,252913.0,23128.0,47282.0
B042,nursery,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,6335.0,1979-1995,9.7,Low,108.63,25.39,239.63,411.54,13.63,11.86,421.5,61.26,98.3,419259.0,4398977.0,694.39,3.55,688170.0,1518040.0,2607097.0,160837.0,22458.0
B043,library,EGB55,construction_only,EGB55,,,1629.7,1996-2009,,Negligible,109.82,21.81,287.8,329.3,19.31,72.07,459.75,48.76,225.16,288493.0,607491.0,372.75,6.79,178985.0,469047.0,536674.0,35540.0,11064.0
B043,library,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,1629.7,1996-2009,10.7,Negligible,16.81,3.92,36.1,58.05,1.73,5.7,72.64,33.63,22.01,288493.0,121914.0,74.81,8.28,27400.0,58840.0,94599.0,6384.0,13496.0
B043,library,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,1629.7,1996-2009,10.7,Negligible,109.27,38.3,262.46,319.35,17.83,27.59,860.45,13.63,117.88,288493.0,931832.0,571.77,9.64,178077.0,427740.0,520452.0,62421.0,15708.0
B044,office,EGB55,construction_only,EGB55,,,7520.9,vor 1919,,Very high,23.65,4.74,55.61,85.53,6.36,82.13,758.63,27.13,52.1,1168745.0,2790882.0,371.09,1.48,177849.0,418242.0,643267.0,35677.0,11125.0
B044,office,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,7520.9,vor 1919,22.7,Very high,5.33,1.31,11.11,11.84,0.96,3.37,109.99,64.39,28.5,1168745.0,985139.0,130.99,12.85,40067.0,83525.0,89026.0,9820.0,96653.0
B044,office,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,7520.9,vor 1919,22.7,Very high,61.57,22.53,164.25,170.1,16.01,85.32,364.77,15.08,369.77,1168745.0,4314770.0,573.71,4.1,463041.0,1235322.0,1279313.0,169417.0,30805.0
B045,nursery,EGB55,construction_only,EGB55,,,2742.3,1979-1995,,Medium,21.4,8.09,45.06,62.76,5.87,8.55,321.95,75.34,76.38,250647.0,1801611.0,656.98,13.44,58678.0,123556.0,172095.0,22174.0,36844.0
B045,nursery,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,2742.3,1979-1995,17.1,Medium,28.69,8.35,79.52,77.21,4.5,6.33,49.19,22.41,55.22,250647.0,374295.0,136.49,6.08,78686.0,218053.0,211740.0,22906.0,16674.0
B045,nursery,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,2742.3,1979-1995,17.1,Medium,100.4,23.71,229.87,375.93,14.89,55.45,854.98,32.4,347.4,250647.0,531221.0,193.72,11.87,275332.0,630357.0,1030911.0,65021.0,32542.0
B046,sports_hall,EGB55,construction_only,EGB55,,,6764.6,ab 2010,,Negligible,129.4,36.79,271.71,301.98,21.71,67.01,718.33,9.39,398.04,1175346.0,1679915.0,248.34,5.03,875350.0,1837975.0,2042756.0,248873.0,34020.0
B046,sports_hall,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,6764.6,ab 2010,0.0,Negligible,40.77,13.34,92.38,119.88,10.07,8.43,100.53,72.12,33.43,1175346.0,930715.0,137.59,6.46,275782.0,624907.0,810951.0,90260.0,43700.0
B046,sports_hall,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,6764.6,ab 2010,0.0,Negligible,115.73,28.5,294.47,366.81,21.68,17.08,892.99,87.26,54.24,1175346.0,5185404.0,766.55,8.74,782839.0,1991932.0,2481337.0,192774.0,59109.0
B047,school,EGB55,construction_only,EGB55,,,6636.3,vor 1919,,Very high,66.11,22.78,183.24,241.73,8.86,72.38,795.96,37.11,195.87,1276535.0,1993502.0,300.39,0.59,438752.0,1216070.0,1604178.0,151148.0,3907.0
B047,school,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,6636.3,vor 1919,24.8,Very high,18.26,3.68,52.44,52.65,3.54,7.12,56.03,69.78,33.49,1276535.0,674135.0,101.58,7.05,121189.0,348028.0,349403.0,24441.0,46796.0
B047,school,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,6636.3,vor 1919,24.8,Very high,84.28,19.68,212.94,278.07,8.2,86.88,488.98,28.12,328.96,1276535.0,4497775.0,677.75,10.27,559283.0,1413133.0,1845390.0,130582.0,68186.0
B048,nursery,EGB55,construction_only,EGB55,,,1075.7,1949-1978,,Low,110.27,33.13,258.41,343.43,21.06,82.21,758.22,68.45,391.04,192406.0,150276.0,139.7,12.43,118615.0,277977.0,369435.0,35639.0,13370.0
B048,nursery,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,1075.7,1949-1978,14.5,Low,35.07,8.39,86.08,123.43,3.05,7.24,68.85,77.82,23.5,192406.0,138519.0,128.77,4.29,37728.0,92595.0,132778.0,9026.0,4615.0
B048,nursery,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,1075.7,1949-1978,14.5,Low,58.16,18.08,176.36,209.81,7.56,69.14,600.69,39.66,334.9,192406.0,789890.0,734.29,7.93,62569.0,189714.0,225694.0,19445.0,8528.0
B049,sports_hall,EGB55,construction_only,EGB55,,,1369.9,ab 2010,,Negligible,84.73,17.72,241.99,286.93,9.24,29.3,736.48,82.8,370.63,149168.0,549498.0,401.12,6.19,116075.0,331503.0,393065.0,24278.0,8486.0
B049,sports_hall,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,1369.9,ab 2010,4.2,Negligible,12.06,3.37,25.6,29.65,1.88,3.15,67.04,65.08,42.57,149168.0,201420.0,147.03,14.23,16515.0,35066.0,40613.0,4611.0,19494.0
B049,sports_hall,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,1369.9,ab 2010,4.2,Negligible,106.61,28.67,311.13,283.07,19.76,88.35,571.02,49.56,339.18,149168.0,452794.0,330.53,13.38,146046.0,426225.0,387778.0,39270.0,18331.0
B050,library,EGB55,construction_only,EGB55,,,2210.7,1996-2009,,Low,121.6,29.15,316.66,404.31,28.55,39.43,260.54,77.89,86.4,223675.0,307323.0,139.01,4.09,268822.0,700051.0,893817.0,64450.0,9041.0
B050,library,HP-400-003|Allgemeiner Strommix,hvac_only,none,Waermepumpe,Luft,2210.7,1996-2009,13.5,Low,42.69,13.91,110.54,129.51,9.33,13.28,53.63,15.6,20.05,223675.0,273967.0,123.93,10.33,94369.0,244374.0,286310.0,30743.0,22846.0
B050,library,EGB55 + HP-400-003|Allgemeiner Strommix,combined,EGB55,Waermepumpe,Luft,2210.7,1996-2009,13.5,Low,107.96,38.88,252.1,397.5,21.47,52.88,750.82,59.29,296.34,223675.0,494644.0,223.74,9.87,238674.0,557341.0,878767.0,85962.0,21818.0
